Filename,BPM,Key,Happy,Sad,Relaxed,Aggressive,Danceability
2633272847.mp3,120,G minor,0.644,0.883,0.782,0.218,0.958
2633275561.mp3,120,G minor,0.438,0.798,0.639,0.109,0.575
2633275668.mp3,80,G minor,0.055,0.996,0.930,0.047,0.167
2633539475.mp3,128,A major,0.373,0.966,0.791,0.027,0.952
2633540315.mp3,77,C# minor,0.392,0.952,0.762,0.051,0.649
2633857574.mp3,74,E major,0.283,0.973,0.774,0.063,0.266
2634503968.mp3,122,F# major,0.259,0.992,0.771,0.041,0.587
2634876311.mp3,124,A minor,0.653,0.777,0.743,0.492,0.826
2635124453.mp3,134,E major,0.110,0.964,0.798,0.120,0.469
2635135550.mp3,132,Bb major,0.365,0.356,0.663,0.177,0.999
2635282513.mp3,72,C major,0.296,0.978,0.824,0.020,0.412
2635352423.mp3,156,B minor,0.512,0.543,0.438,0.293,0.913
